"Program","College","Age","Gender","FirstGen","Race","TSI_MATH","TSI_WRITING","TSI_READING","MotherEducation","FatherEducation","Homeschooled","HasGED","Highschool","FinAid","EFC"
"Cosmetology","Career and Technical",25,"Female","Unknown","Black or African American","352","363","354","Some College","Some College",0,0,"GREENWOOD HIGH SCHOOL","FED PELL GRANT","9999999"
"Education","Education",24,"Female","Unknown","Hispanic/Latino","349","355","363","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",25,"Female","Unknown","Hispanic/Latino","350","369","355","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Education","Education",26,"Female","Unknown","Hispanic/Latino","355","361","352","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Office Systems Technology","Career and Technical",30,"Female","Yes","Hispanic/Latino","48","73","94","High School Diploma or GED","No High School",0,0,"BLADENSBURG HIGH SCHOOL","OTHER","0"
"Business Administration","Business",27,"Female","Unknown","Hispanic/Latino","354","240","237","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","18085"
"Kinesiology","Math and Science",25,"Male","Unknown","Hispanic/Latino","337","345","353","Unknown","Unknown",0,0,"Midland High School","OTHER","1022"
"Kinesiology","Math and Science",42,"Female","Unknown","Black or African American","335","NULL","NULL","Unknown","Unknown",0,0,"BROWNWOOD HIGH SCHOOL","FED PELL GRANT","0"
"Health Information Management","Health Science",58,"Female","Unknown","Hispanic/Latino","934","240","255","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","8655"
"Nursing-Vocational","Health Science",45,"Female","Unknown","Black or African American","337","351","342","Some College","Some College",0,1,"Midland High School","FED PELL GRANT","0"
"Emergency Medical Services","Health Science",37,"Male","Unknown","White","350","78","89","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","9999999"
"Emergency Medical Services","Health Science",25,"Female","Yes","Hispanic/Latino","347","358","350","No High School","No High School",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Business Management","Business",47,"Female","Unknown","Hispanic/Latino","330","373","364","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","0"
"Cosmetology","Career and Technical",35,"Female","Yes","Black or African American","16","52","72","High School Diploma or GED","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","568"
"Nursing-Associate Degree","Health Science",27,"Female","Unknown","Hispanic/Latino","218","240","260","Some College","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",30,"Female","Unknown","White","346","362","372","Unknown","Unknown",0,1,"Texas Ged","OTHER","2967"
"Business Management","Business",22,"Female","Unknown","Hispanic/Latino","339","361","351","Unknown","Unknown",0,0,"MISD- LHS","OTHER","2"
"Health Services Management","Health Science",33,"Female","Yes","Hispanic/Latino","319","360","351","No High School","No High School",0,1,"Texas Ged","OTHER","0"
"Office Systems Technology","Career and Technical",33,"Female","Unknown","Hispanic/Latino","936","924","924","High School Diploma or GED","Unknown",0,0,"Texas Ged","FED PELL GRANT","0"
"Engineering","Math and Science",22,"Female","Unknown","Hispanic/Latino","354","361","362","Unknown","Unknown",0,0,"Midland High School","OTHER","3862"
"Organizational Management","Business",41,"Male","Unknown","Black or African American","321","338","330","Unknown","Unknown",0,0,"Unknown International High School","OTHER","48040"
"Criminal Justice","Career and Technical",35,"Female","Unknown","White","351","357","344","Unknown","Unknown",0,0,"POTTSBORO HIGH","FED PELL GRANT","0"
"Health Services Management","Health Science",41,"Female","Unknown","Unknown","246","240","248","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","0"
"Psychology","Social and Behavioral Science",26,"Male","Yes","Hispanic/Latino","347","360","362","High School Diploma or GED","No High School",0,0,"MISD- LHS","FED PELL GRANT","0"
"Welding","Career and Technical",26,"Male","Unknown","Hispanic/Latino","347","377","364","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Substance Abuse Counseling","Health Science",39,"Female","Yes","Hispanic/Latino","333","34","85","No High School","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","779"
"Cosmetology","Career and Technical",29,"Female","Yes","Hispanic/Latino","934","941","941","Some High School","Some High School",0,0,"VIOLA M COLEMAN HIGH SCHOOL","FED PELL GRANT","0"
"Welding","Career and Technical",22,"Male","Unknown","White","354","354","351","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Sociology","Social and Behavioral Science",28,"Female","Unknown","Hispanic/Latino","939","941","941","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","FED PELL GRANT","0"
"Biology","Math and Science",25,"Female","No","Hispanic/Latino","329","356","344","Associate Degree","High School Diploma or GED",0,0,"PREMIER HIGH SCH-MIDLAND","OTHER","34245"
"Nursing-Vocational","Health Science",24,"Female","Unknown","Hispanic/Latino","350","347","347","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Emergency Medical Services","Health Science",31,"Male","Unknown","Hispanic/Latino","355","81","87","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","9999999"
"Welding","Career and Technical",22,"Male","Unknown","White","354","354","351","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Office Systems Technology","Career and Technical",40,"Female","Unknown","Unknown","356","67","79","Unknown","Unknown",0,0,"Texas Ged","FED PELL GRANT","0"
"Biology","Math and Science",24,"Female","Unknown","Hispanic/Latino","315","352","350","Unknown","Unknown",0,0,"Midland High School","OTHER","8233"
"Nursing-Vocational","Health Science",21,"Female","Yes","Hispanic/Latino","352","370","362","No High School","Some High School",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","19011"
"Criminal Justice","Career and Technical",27,"Female","No","White","329","358","351","High School Diploma or GED","Bachelor/Four-year Degree",0,0,"CONTINENTAL ACADEMY","OTHER","0"
"Energy Technology","Career and Technical",21,"Male","Unknown","Hispanic/Latino","346","360","343","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Psychology","Social and Behavioral Science",32,"Female","Unknown","Black or African American","921","941","941","High School Diploma or GED","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Respiratory Care","Health Science",32,"Male","Yes","Hispanic/Latino","357","359","368","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","0"
"Energy Technology","Career and Technical",32,"Female","Unknown","Hispanic/Latino","926","941","941","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Organizational Management","Business",34,"Female","Unknown","Black or African American","NULL","84","93","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","388"
"Energy Technology","Career and Technical",21,"Male","Unknown","Hispanic/Latino","955","357","363","Unknown","Unknown",0,0,"Midland High School","OTHER","17412"
"Child Care and Development","Education",40,"Female","No","Hispanic/Latino","329","240","342","High School Diploma or GED","Associate Degree",0,1,"RICHARD MILBURN ACADEMY","FED PELL GRANT","8713"
"Nursing-Vocational","Health Science",38,"Female","Yes","Hispanic/Latino","211","240","244","High School Diploma or GED","Some High School",1,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","11715"
"Health Information Management","Health Science",35,"Male","Unknown","Hispanic/Latino","346","362","355","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","3898"
"Air Conditioning, Heating and Refrigeration Technology","Career and Technical",36,"Male","Unknown","Hispanic/Latino","337","61","338","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","1450"
"Nursing-Associate Degree","Health Science",24,"Female","Unknown","Hispanic/Latino","357","365","368","Unknown","Unknown",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Energy Technology","Career and Technical",41,"Male","Unknown","Black or African American","321","338","330","Unknown","Unknown",0,0,"Unknown International High School","FED PELL GRANT","48040"
"Welding","Career and Technical",26,"Male","Unknown","Hispanic/Latino","321","348","329","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Energy Technology","Career and Technical",34,"Female","Unknown","White","352","56","90","High School Diploma or GED","Some College",0,0,"MISD- LHS","FED PELL GRANT","0"
"Business Administration","Business",36,"Female","Yes","Hispanic/Latino","344","61","89","High School Diploma or GED","High School Diploma or GED",0,0,"Texas Unknown Ceeb Code","OTHER","27216"
"Criminal Justice","Career and Technical",25,"Female","Unknown","Black or African American","350","353","347","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",26,"Male","Unknown","Hispanic/Latino","338","363","355","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Business Administration","Business",42,"Female","Unknown","Hispanic/Latino","324","360","345","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","1417"
"Paralegal","Career and Technical",41,"Female","Yes","Hispanic/Latino","338","240","260","No High School","High School Diploma or GED",0,0,"WESTERN HILLS HIGH SCHOOL","FED PELL GRANT","12750"
"Engineering","Math and Science",22,"Male","Yes","Hispanic/Latino","358","NULL","NULL","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","32842"
"Biology","Math and Science",24,"Female","No","Hispanic/Latino","345","356","352","High School Diploma or GED","Graduate/Professional Degree",0,0,"MISD- LHS","OTHER","9999999"
"Business Administration","Business",22,"Female","Unknown","Hispanic/Latino","341","349","347","Unknown","No High School",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Business Administration","Business",35,"Female","Yes","Hispanic/Latino","351","65","86","High School Diploma or GED","No High School",0,0,"MISD- LHS","FED PELL GRANT","0"
"Business Management","Business",28,"Female","Unknown","Hispanic/Latino","924","921","921","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",36,"Female","Yes","Hispanic/Latino","334","361","351","Some High School","Some High School",0,0,"MISD- LHS","OTHER","9999999"
"Office Systems Technology","Career and Technical",41,"Female","Unknown","Hispanic/Latino","355","NULL","NULL","Unknown","High School Diploma or GED",0,0,"Midland High School","FED PELL GRANT","9999999"
"Air Conditioning, Heating and Refrigeration Technology","Career and Technical",33,"Male","Unknown","Hispanic/Latino","18","76","82","Unknown","Unknown",0,0,"MIDLAND CLASSICAL ACADEMY","OTHER","0"
"Engineering","Math and Science",20,"Male","No","Hispanic/Latino","355","367","358","Unknown","Bachelor/Four-year Degree",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Biology","Math and Science",22,"Male","Unknown","Hispanic/Latino","347","353","356","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Engineering","Math and Science",31,"Male","Unknown","Hispanic/Latino","49","56","74","High School Diploma or GED","Some College",0,0,"Midland High School","OTHER","9999999"
"Mathematics","Math and Science",35,"Male","Unknown","Hispanic/Latino","NULL","97","NULL","Unknown","Unknown",0,0,"MISD- LHS","OTHER","536"
"Business Administration","Business",26,"Female","Yes","Hispanic/Latino","312","348","340","High School Diploma or GED","Some High School",0,0,"RICHARD MILBURN ACADEMY","FED PELL GRANT","0"
"Automotive Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","350","361","348","Unknown","Unknown",0,0,"MISD- LHS","OTHER","17"
"Welding","Career and Technical",24,"Male","Unknown","Hispanic/Latino","350","355","356","Unknown","Unknown",0,0,"Midland High School","OTHER","4285"
"Diesel Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","341","350","351","Unknown","Unknown",0,0,"Midland High School","OTHER","17456"
"Kinesiology","Math and Science",33,"Female","Unknown","Hispanic/Latino","29","56","75","Unknown","Some High School",0,1,"Texas Ged","FED PELL GRANT","0"
"Office Systems Technology","Career and Technical",33,"Female","Unknown","Unknown","343","353","340","Unknown","Unknown",0,0,"Not Used....Was Unknown High School","FED PELL GRANT","0"
"Business Management","Business",38,"Female","Yes","Hispanic/Latino","350","240","204","High School Diploma or GED","Some High School",0,0,"LAMESA HIGH SCHOOL","OTHER","420"
"Psychology","Social and Behavioral Science",29,"Female","Yes","Hispanic/Latino","35","85","85","High School Diploma or GED","Some High School",0,0,"MISD- LHS","FED PELL GRANT","0"
"Business Management","Business",34,"Female","Unknown","Hispanic/Latino","177","355","344","High School Diploma or GED","Unknown",0,0,"Midland High School","OTHER","0"
"Kinesiology","Math and Science",33,"Female","Unknown","Hispanic/Latino","21","NULL","NULL","Some College","Some College",0,0,"MISD- LHS","FED PELL GRANT","0"
"Sociology","Social and Behavioral Science",24,"Female","Unknown","Hispanic/Latino","327","343","349","Unknown","Unknown",0,0,"Midland High School","OTHER","11048"
"Organizational Management","Business",38,"Male","Unknown","White","30","70","90","Some College","High School Diploma or GED",0,0,"GREENWOOD HIGH SCHOOL","FED PELL GRANT","9999999"
"Biology","Math and Science",27,"Female","Yes","Hispanic/Latino","334","353","350","No High School","Some High School",0,0,"STANTON HIGH SCHOOL","FED PELL GRANT","3095"
"Nursing-Associate Degree","Health Science",28,"Male","Unknown","Hispanic/Latino","347","351","342","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Organizational Management","Business",32,"Female","No","Hispanic/Latino","325","349","362","Associate Degree","Some High School",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","405"
"Nursing-Vocational","Health Science",34,"Female","Unknown","Black or African American","37","45","89","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Health Information Management","Health Science",27,"Female","Unknown","Hispanic/Latino","312","351","348","Unknown","Unknown",0,0,"RICHARD MILBURN ACADEMY","FED PELL GRANT","0"
"Education","Education",35,"Female","Unknown","Hispanic/Latino","238","366","215","Unknown","Unknown",0,0,"WEST JEFFERSON HIGH SCHOOL","OTHER","0"
"Engineering","Math and Science",23,"Male","Unknown","Hispanic/Latino","337","354","341","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Organizational Management","Business",41,"Female","Yes","Hispanic/Latino","54","86","244","Some High School","Some High School",0,0,"MISD- LHS","FED PELL GRANT","10692"
"Child Care and Development","Education",44,"Female","Unknown","White","185","240","207","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","9245"
"Computer-Aided Drafting and Design","Career and Technical",49,"Female","Unknown","Hispanic/Latino","250","240","231","Unknown","Unknown",0,0,"PRESIDIO HIGH SCHOOL","FED PELL GRANT","9999999"
"Nursing-Vocational","Health Science",27,"Female","Unknown","Hispanic/Latino","325","348","341","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",51,"Female","Unknown","White","223","220","277","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","0"
"Nursing-Vocational","Health Science",44,"Female","Unknown","White","350","97","89","Unknown","Unknown",0,0,"Out of State Ged","OTHER","350"
"Education","Education",30,"Female","Unknown","Hispanic/Latino","310","332","344","Unknown","Unknown",0,0,"Unknown International High School","OTHER","9999999"
"Biology","Math and Science",24,"Female","Unknown","Hispanic/Latino","350","356","353","Unknown","Unknown",0,0,"Midland High School","OTHER","40"
"Paralegal","Career and Technical",45,"Female","Unknown","White","52","NULL","NULL","Unknown","Unknown",0,0,"Midland High School","OTHER","183"
"Organizational Management","Business",25,"Male","Unknown","White","942","354","348","Unknown","Unknown",0,0,"STANTON HIGH SCHOOL","FED PELL GRANT","1817"
"Arts","Language and Fine Arts",24,"Male","Unknown","Hispanic/Latino","337","349","342","Some College","High School Diploma or GED",0,0,"RICHARD MILBURN ACADEMY","OTHER","6694"
"History","Social and Behavioral Science",25,"Male","Unknown","White","357","374","355","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","39552"
"Computer-Aided Drafting and Design","Career and Technical",31,"Male","Yes","Asian","271","180","232","No High School","No High School",0,0,"Unknown International High School","OTHER","0"
"Criminal Justice","Career and Technical",25,"Male","Unknown","White","333","348","352","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","9999999"
"Education","Education",24,"Female","Unknown","Hispanic/Latino","350","340","352","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","1977"
"Diesel Technology","Career and Technical",22,"Male","Yes","Hispanic/Latino","352","344","353","Some High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","8665"
"Business Administration","Business",24,"Male","Unknown","Hispanic/Latino","344","357","360","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Energy Technology","Career and Technical",20,"Male","No","White","948","950","950","High School Diploma or GED","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","9249"
"Education","Education",29,"Female","Yes","Hispanic/Latino","352","372","365","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","0"
"Office Systems Technology","Career and Technical",34,"Female","Unknown","Black or African American","NULL","84","93","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","388"
"Business Management","Business",40,"Female","Unknown","Hispanic/Latino","192","38","237","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","5041"
"Business Management","Business",24,"Female","Unknown","Hispanic/Latino","955","343","348","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","2244"
"Psychology","Social and Behavioral Science",25,"Female","Yes","Hispanic/Latino","360","367","367","High School Diploma or GED","High School Diploma or GED",0,1,"MISD- LHS","OTHER","14297"
"Business Management","Business",50,"Female","Unknown","White","234","364","90","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","0"
"Organizational Management","Business",34,"Female","Unknown","Black or African American","NULL","84","93","Unknown","Unknown",0,0,"Midland High School","OTHER","420"
"Respiratory Care","Health Science",23,"Female","Unknown","Hispanic/Latino","338","350","350","Some College","Some College",0,0,"MISD- LHS","OTHER","19791"
"Diesel Technology","Career and Technical",22,"Male","Yes","Hispanic/Latino","352","344","353","Some High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","15562"
"English","Language and Fine Arts",33,"Female","No","White","310","NULL","NULL","Unknown","Associate Degree",0,0,"MISD- LHS","OTHER","0"
"Psychology","Social and Behavioral Science",26,"Female","Yes","Hispanic/Latino","315","352","342","High School Diploma or GED","Some High School",0,1,"Texas Resident Individual Appro","FED PELL GRANT","12499"
